timestamp, index, name, memory.used [MiB], utilization.gpu [%], temperature.gpu, power.draw [W]
2026/09/17 16:28:56.239, 0, NVIDIA GeForce RTX 4070 SUPER, 6540 MiB, 0 %, 44, 7.40 W
2026/09/17 16:28:56.240, 1, NVIDIA GeForce RTX 5060 Ti, 6927 MiB, 0 %, 45, 9.53 W
2026/09/17 16:28:58.254, 0, NVIDIA GeForce RTX 4070 SUPER, 6544 MiB, 34 %, 52, 98.13 W
2026/09/17 16:28:58.254, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 63 %, 57, 119.22 W
2026/09/17 16:29:00.255, 0, NVIDIA GeForce RTX 4070 SUPER, 6548 MiB, 34 %, 53, 95.52 W
2026/09/17 16:29:00.255, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 60 %, 57, 98.48 W
2026/09/17 16:29:02.258, 0, NVIDIA GeForce RTX 4070 SUPER, 6537 MiB, 34 %, 52, 75.36 W
2026/09/17 16:29:02.258, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 64 %, 58, 99.18 W
2026/09/17 16:29:04.273, 0, NVIDIA GeForce RTX 4070 SUPER, 6522 MiB, 35 %, 53, 71.48 W
2026/09/17 16:29:04.273, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 61 %, 59, 99.22 W
2026/09/17 16:29:06.285, 0, NVIDIA GeForce RTX 4070 SUPER, 6522 MiB, 37 %, 52, 71.47 W
2026/09/17 16:29:06.285, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 58 %, 59, 99.38 W
2026/09/17 16:29:08.298, 0, NVIDIA GeForce RTX 4070 SUPER, 6539 MiB, 28 %, 64, 132.90 W
2026/09/17 16:29:08.298, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 99 %, 69, 148.83 W
2026/09/17 16:29:10.303, 0, NVIDIA GeForce RTX 4070 SUPER, 6540 MiB, 0 %, 51, 64.62 W
2026/09/17 16:29:10.303, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 0 %, 53, 48.76 W
2026/09/17 16:29:12.304, 0, NVIDIA GeForce RTX 4070 SUPER, 6539 MiB, 36 %, 57, 112.02 W
2026/09/17 16:29:12.304, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 60 %, 60, 129.58 W
2026/09/17 16:29:14.318, 0, NVIDIA GeForce RTX 4070 SUPER, 6524 MiB, 38 %, 56, 95.92 W
2026/09/17 16:29:14.318, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 61 %, 61, 100.88 W
2026/09/17 16:29:16.333, 0, NVIDIA GeForce RTX 4070 SUPER, 6524 MiB, 35 %, 57, 78.08 W
2026/09/17 16:29:16.333, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 60 %, 60, 100.84 W
2026/09/17 16:29:18.336, 0, NVIDIA GeForce RTX 4070 SUPER, 6524 MiB, 40 %, 56, 73.36 W
2026/09/17 16:29:18.336, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 56 %, 59, 101.50 W
2026/09/17 16:29:20.347, 0, NVIDIA GeForce RTX 4070 SUPER, 6542 MiB, 36 %, 57, 73.57 W
2026/09/17 16:29:20.347, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 62 %, 61, 101.31 W
2026/09/17 16:29:22.360, 0, NVIDIA GeForce RTX 4070 SUPER, 6542 MiB, 69 %, 61, 70.35 W
2026/09/17 16:29:22.360, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 99 %, 68, 77.65 W
2026/09/17 16:29:24.364, 0, NVIDIA GeForce RTX 4070 SUPER, 6575 MiB, 36 %, 61, 109.62 W
2026/09/17 16:29:24.364, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 58 %, 60, 132.95 W
2026/09/17 16:29:26.367, 0, NVIDIA GeForce RTX 4070 SUPER, 6573 MiB, 21 %, 71, 105.41 W
2026/09/17 16:29:26.367, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 99 %, 68, 109.68 W
2026/09/17 16:29:28.377, 0, NVIDIA GeForce RTX 4070 SUPER, 6587 MiB, 24 %, 60, 133.88 W
2026/09/17 16:29:28.377, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 99 %, 69, 147.56 W
2026/09/17 16:29:30.378, 0, NVIDIA GeForce RTX 4070 SUPER, 6601 MiB, 1 %, 61, 61.80 W
2026/09/17 16:29:30.378, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 0 %, 53, 56.14 W
2026/09/17 16:29:32.395, 0, NVIDIA GeForce RTX 4070 SUPER, 6579 MiB, 21 %, 69, 136.36 W
2026/09/17 16:29:32.395, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 99 %, 68, 147.70 W
2026/09/17 16:29:34.398, 0, NVIDIA GeForce RTX 4070 SUPER, 6569 MiB, 35 %, 62, 95.85 W
2026/09/17 16:29:34.398, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 58 %, 60, 118.95 W
2026/09/17 16:29:36.409, 0, NVIDIA GeForce RTX 4070 SUPER, 6542 MiB, 38 %, 61, 91.98 W
2026/09/17 16:29:36.409, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 63 %, 58, 95.85 W
2026/09/17 16:29:38.424, 0, NVIDIA GeForce RTX 4070 SUPER, 6542 MiB, 36 %, 73, 118.44 W
2026/09/17 16:29:38.424, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 99 %, 68, 116.95 W
2026/09/17 16:29:40.439, 0, NVIDIA GeForce RTX 4070 SUPER, 6542 MiB, 6 %, 71, 131.82 W
2026/09/17 16:29:40.439, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 99 %, 68, 147.62 W
2026/09/17 16:29:42.451, 0, NVIDIA GeForce RTX 4070 SUPER, 6542 MiB, 36 %, 63, 99.15 W
2026/09/17 16:29:42.451, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 57 %, 60, 97.00 W
2026/09/17 16:29:44.452, 0, NVIDIA GeForce RTX 4070 SUPER, 6543 MiB, 40 %, 59, 74.07 W
2026/09/17 16:29:44.452, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 64 %, 60, 99.65 W
2026/09/17 16:29:46.459, 0, NVIDIA GeForce RTX 4070 SUPER, 6546 MiB, 6 %, 59, 72.59 W
2026/09/17 16:29:46.459, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 85 %, 60, 97.30 W
2026/09/17 16:29:48.477, 0, NVIDIA GeForce RTX 4070 SUPER, 6545 MiB, 46 %, 68, 104.98 W
2026/09/17 16:29:48.477, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 99 %, 66, 111.76 W
2026/09/17 16:29:50.492, 0, NVIDIA GeForce RTX 4070 SUPER, 6545 MiB, 37 %, 61, 107.65 W
2026/09/17 16:29:50.492, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 62 %, 60, 100.55 W
2026/09/17 16:29:52.519, 0, NVIDIA GeForce RTX 4070 SUPER, 6551 MiB, 37 %, 61, 89.88 W
2026/09/17 16:29:52.519, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 57 %, 57, 100.85 W
2026/09/17 16:29:54.534, 0, NVIDIA GeForce RTX 4070 SUPER, 6720 MiB, 36 %, 59, 78.58 W
2026/09/17 16:29:54.534, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 56 %, 57, 100.40 W
2026/09/17 16:29:56.535, 0, NVIDIA GeForce RTX 4070 SUPER, 6609 MiB, 82 %, 61, 105.96 W
2026/09/17 16:29:56.535, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 99 %, 66, 103.31 W
2026/09/17 16:29:58.548, 0, NVIDIA GeForce RTX 4070 SUPER, 6595 MiB, 36 %, 62, 98.36 W
2026/09/17 16:29:58.548, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 60 %, 60, 110.78 W
2026/09/17 16:30:00.563, 0, NVIDIA GeForce RTX 4070 SUPER, 6588 MiB, 37 %, 60, 92.30 W
2026/09/17 16:30:00.563, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 62 %, 59, 100.75 W
2026/09/17 16:30:02.576, 0, NVIDIA GeForce RTX 4070 SUPER, 6581 MiB, 40 %, 58, 80.68 W
2026/09/17 16:30:02.576, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 59 %, 58, 101.21 W
2026/09/17 16:30:04.581, 0, NVIDIA GeForce RTX 4070 SUPER, 6711 MiB, 37 %, 59, 75.94 W
2026/09/17 16:30:04.581, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 59 %, 57, 100.04 W
2026/09/17 16:30:06.582, 0, NVIDIA GeForce RTX 4070 SUPER, 6711 MiB, 0 %, 55, 61.91 W
2026/09/17 16:30:06.582, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 59 %, 57, 100.01 W
2026/09/17 16:30:08.592, 0, NVIDIA GeForce RTX 4070 SUPER, 6711 MiB, 0 %, 59, 132.83 W
2026/09/17 16:30:08.592, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 99 %, 65, 106.39 W
2026/09/17 16:30:10.596, 0, NVIDIA GeForce RTX 4070 SUPER, 6599 MiB, 38 %, 60, 103.44 W
2026/09/17 16:30:10.596, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 61 %, 57, 100.18 W
2026/09/17 16:30:12.598, 0, NVIDIA GeForce RTX 4070 SUPER, 6595 MiB, 36 %, 60, 83.10 W
